"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-16T16:26:20.000Z",16.5,17.07,4.18,21.94,22.79,3102
"2026-05-16T16:26:40.000Z",15.72,20.93,4.32,22.02,15.62,2956
"2026-05-16T16:27:00.000Z",17.96,22.93,8.62,19.28,21.02,3377
"2026-05-16T16:27:20.000Z",15.99,22.08,6.02,14.86,21.01,3007
"2026-05-16T16:27:40.000Z",14.35,22.1,5.23,17.21,12.85,2697
"2026-05-16T16:28:00.000Z",18.23,20.02,6.34,24.57,21.99,3427
"2026-05-16T16:28:20.000Z",16.58,19.91,22.16,16.66,7.6,3118
"2026-05-16T16:28:40.000Z",12.33,16.61,9.33,18.3,5.07,2318
"2026-05-16T16:29:00.000Z",13.43,17.41,9.2,18.29,8.81,2525
"2026-05-16T16:29:20.000Z",17.35,20.53,19.48,19.89,9.48,3262
"2026-05-16T16:29:40.000Z",12.92,18.37,3.25,18.47,11.61,2430
"2026-05-16T16:30:00.000Z",15.75,19.87,5.71,16.64,20.77,2961
"2026-05-16T16:30:20.000Z",23.62,24.54,7.93,26.13,35.86,4440
"2026-05-16T16:30:40.000Z",19.1,22.8,18.45,25.57,9.58,3591
"2026-05-16T16:31:00.000Z",17.01,19.63,7.27,22.07,19.05,3198
"2026-05-16T16:31:20.000Z",15.13,18.22,7.07,20.67,14.56,2845
"2026-05-16T16:31:40.000Z",17.6,21.74,4.84,21.13,22.69,3309
"2026-05-16T16:32:00.000Z",16.89,22.11,7.09,19.98,18.38,3176
"2026-05-16T16:32:20.000Z",17.34,21.56,5.93,17.56,24.33,3261
"2026-05-16T16:32:40.000Z",15.65,20.3,4.82,23.91,13.58,2943
"2026-05-16T16:33:00.000Z",16.31,21.21,10.81,21.84,11.38,3067
"2026-05-16T16:33:20.000Z",17.23,20.91,5.08,19.44,23.47,3239
"2026-05-16T16:33:40.000Z",22.53,24.43,21.29,25.1,19.3,4236
"2026-05-16T16:34:00.000Z",28.76,41.04,15.02,39.24,19.75,5408
"2026-05-16T16:34:20.000Z",37.26,37.91,36.39,35.29,39.45,7005
"2026-05-16T16:34:40.000Z",45.69,24.65,74.33,11.52,72.28,8591
"2026-05-16T16:35:00.000Z",18.6,5.99,29.55,13.49,25.36,3497
"2026-05-16T16:35:20.000Z",17.31,13.55,23.88,9.84,21.96,3254
"2026-05-16T16:35:40.000Z",15.38,9.84,21.52,7.85,22.3,2892
"2026-05-16T16:36:00.000Z",25.56,18.67,32.27,20.32,30.96,4805
"2026-05-16T16:36:20.000Z",26.11,12.81,28.89,30.49,32.26,4910
"2026-05-16T16:36:40.000Z",16.92,11.58,19.81,12.31,24,3182
"2026-05-16T16:37:00.000Z",23.31,27.4,22.84,20.8,22.18,4382
"2026-05-16T16:37:20.000Z",24.05,14.58,25.18,28.65,27.8,4522
"2026-05-16T16:37:40.000Z",17.33,16.84,19.17,9.74,23.59,3259
"2026-05-16T16:38:00.000Z",21.29,26.94,21.99,11.76,24.45,4002
"2026-05-16T16:38:20.000Z",22.32,22.22,21.44,17.47,28.13,4196
"2026-05-16T16:38:40.000Z",20.84,15.46,19.72,26.64,21.56,3919
"2026-05-16T16:39:00.000Z",23.73,17.28,28.75,26.91,21.96,4461
"2026-05-16T16:39:20.000Z",21.38,23.32,21.15,22.71,18.34,4020
"2026-05-16T16:39:40.000Z",20.68,27.12,13.93,20.62,21.07,3889
"2026-05-16T16:40:00.000Z",26.22,32.61,24.65,32.8,14.81,4929
"2026-05-16T16:40:20.000Z",22.59,19.19,27.38,15.32,28.48,4248
"2026-05-16T16:40:40.000Z",16.99,13.33,20.41,9.58,24.65,3195
"2026-05-16T16:41:00.000Z",20.89,31.48,21.41,9.44,21.24,3928
"2026-05-16T16:41:20.000Z",32.18,21.93,45.1,17.63,44.06,6050
"2026-05-16T16:41:40.000Z",35.27,19.71,53.5,14.39,53.47,6631
