"Time","Usage for esxilocal.hbmsolutions.mt"
"2026-05-16T15:19:20.000Z",17.06
"2026-05-16T15:19:40.000Z",18.32
"2026-05-16T15:20:00.000Z",18.36
"2026-05-16T15:20:20.000Z",21.63
"2026-05-16T15:20:40.000Z",19.39
"2026-05-16T15:21:00.000Z",20.75
"2026-05-16T15:21:20.000Z",17.16
"2026-05-16T15:21:40.000Z",19.86
"2026-05-16T15:22:00.000Z",17.75
"2026-05-16T15:22:20.000Z",18.81
"2026-05-16T15:22:40.000Z",17.19
"2026-05-16T15:23:00.000Z",18.3
"2026-05-16T15:23:20.000Z",19.3
"2026-05-16T15:23:40.000Z",19.96
"2026-05-16T15:24:00.000Z",25.2
"2026-05-16T15:24:20.000Z",22.57
"2026-05-16T15:24:40.000Z",17.91
"2026-05-16T15:25:00.000Z",27.21
"2026-05-16T15:25:20.000Z",37.18
"2026-05-16T15:25:40.000Z",49.19
"2026-05-16T15:26:00.000Z",25.21
"2026-05-16T15:26:20.000Z",21.61
"2026-05-16T15:26:40.000Z",18.61
"2026-05-16T15:27:00.000Z",26.04
"2026-05-16T15:27:20.000Z",18.85
"2026-05-16T15:27:40.000Z",21.33
"2026-05-16T15:28:00.000Z",20.3
"2026-05-16T15:28:20.000Z",18.42
"2026-05-16T15:28:40.000Z",15.17
"2026-05-16T15:29:00.000Z",19.93
"2026-05-16T15:29:20.000Z",37.45
"2026-05-16T15:29:40.000Z",24.25
"2026-05-16T15:30:00.000Z",18.67
"2026-05-16T15:30:20.000Z",24.48
"2026-05-16T15:30:40.000Z",25.02
"2026-05-16T15:31:00.000Z",21.75
"2026-05-16T15:31:20.000Z",24.63
"2026-05-16T15:31:40.000Z",19.4
"2026-05-16T15:32:00.000Z",17.63
"2026-05-16T15:32:20.000Z",23.26
"2026-05-16T15:32:40.000Z",22.88
"2026-05-16T15:33:00.000Z",20.32
"2026-05-16T15:33:20.000Z",21.47
"2026-05-16T15:33:40.000Z",18.18
"2026-05-16T15:34:00.000Z",36.12
"2026-05-16T15:34:20.000Z",42.97
"2026-05-16T15:34:40.000Z",49.6
"2026-05-16T15:35:00.000Z",28.62
"2026-05-16T15:35:20.000Z",33.51
"2026-05-16T15:35:40.000Z",40.42
"2026-05-16T15:36:00.000Z",21.6
"2026-05-16T15:36:20.000Z",19.62
"2026-05-16T15:36:40.000Z",19.1
"2026-05-16T15:37:00.000Z",31.94
"2026-05-16T15:37:20.000Z",34.01
"2026-05-16T15:37:40.000Z",35.09
"2026-05-16T15:38:00.000Z",27.73
"2026-05-16T15:38:20.000Z",42.16
"2026-05-16T15:38:40.000Z",23.21
"2026-05-16T15:39:00.000Z",32.92
"2026-05-16T15:39:20.000Z",39.74
"2026-05-16T15:39:40.000Z",30.09
"2026-05-16T15:40:00.000Z",40.42
"2026-05-16T15:40:20.000Z",35.96
"2026-05-16T15:40:40.000Z",29.21
"2026-05-16T15:41:00.000Z",33.75
"2026-05-16T15:41:20.000Z",36.69
"2026-05-16T15:41:40.000Z",30.19
"2026-05-16T15:42:00.000Z",32.93
"2026-05-16T15:42:20.000Z",29.36
"2026-05-16T15:42:40.000Z",28.23
"2026-05-16T15:43:00.000Z",27.01
"2026-05-16T15:43:20.000Z",30.82
"2026-05-16T15:43:40.000Z",27.3
"2026-05-16T15:44:00.000Z",28.74
"2026-05-16T15:44:20.000Z",23.3
"2026-05-16T15:44:40.000Z",22.84
"2026-05-16T15:45:00.000Z",23.7
"2026-05-16T15:45:20.000Z",24.85
"2026-05-16T15:45:40.000Z",27.56
"2026-05-16T15:46:00.000Z",25.83
"2026-05-16T15:46:20.000Z",24.77
"2026-05-16T15:46:40.000Z",20.93
"2026-05-16T15:47:00.000Z",22.68
"2026-05-16T15:47:20.000Z",22.79
"2026-05-16T15:47:40.000Z",26.77
"2026-05-16T15:48:00.000Z",30.65
"2026-05-16T15:48:20.000Z",26.76
"2026-05-16T15:48:40.000Z",26
"2026-05-16T15:49:00.000Z",31.51
"2026-05-16T15:49:20.000Z",22.62
"2026-05-16T15:49:40.000Z",21.72
"2026-05-16T15:50:00.000Z",22.24
"2026-05-16T15:50:20.000Z",27.79
"2026-05-16T15:50:40.000Z",25.93
"2026-05-16T15:51:00.000Z",22.69
"2026-05-16T15:51:20.000Z",22.17
"2026-05-16T15:51:40.000Z",24.17
"2026-05-16T15:52:00.000Z",21.83
"2026-05-16T15:52:20.000Z",22.77
"2026-05-16T15:52:40.000Z",22.38
"2026-05-16T15:53:00.000Z",24.33
"2026-05-16T15:53:20.000Z",22.99
"2026-05-16T15:53:40.000Z",24.92
"2026-05-16T15:54:00.000Z",26.61
"2026-05-16T15:54:20.000Z",27.59
"2026-05-16T15:54:40.000Z",23.02
"2026-05-16T15:55:00.000Z",26.4
"2026-05-16T15:55:20.000Z",22.88
"2026-05-16T15:55:40.000Z",21.9
"2026-05-16T15:56:00.000Z",23.48
"2026-05-16T15:56:20.000Z",31.09
"2026-05-16T15:56:40.000Z",19.77
"2026-05-16T15:57:00.000Z",24.66
"2026-05-16T15:57:20.000Z",20.21
"2026-05-16T15:57:40.000Z",21.74
"2026-05-16T15:58:00.000Z",26.85
"2026-05-16T15:58:20.000Z",28.45
"2026-05-16T15:58:40.000Z",28.7
"2026-05-16T15:59:00.000Z",30.62
"2026-05-16T15:59:20.000Z",26.77
"2026-05-16T15:59:40.000Z",23.8
"2026-05-16T16:00:00.000Z",27.96
"2026-05-16T16:00:20.000Z",38.14
"2026-05-16T16:00:40.000Z",46.71
"2026-05-16T16:01:00.000Z",39.54
"2026-05-16T16:01:20.000Z",39.6
"2026-05-16T16:01:40.000Z",30.73
"2026-05-16T16:02:00.000Z",26.4
"2026-05-16T16:02:20.000Z",19.85
"2026-05-16T16:02:40.000Z",32.51
"2026-05-16T16:03:00.000Z",29.66
"2026-05-16T16:03:20.000Z",21.48
"2026-05-16T16:03:40.000Z",28.17
"2026-05-16T16:04:00.000Z",39.89
"2026-05-16T16:04:20.000Z",28.21
"2026-05-16T16:04:40.000Z",45.6
"2026-05-16T16:05:00.000Z",32.06
"2026-05-16T16:05:20.000Z",25.39
"2026-05-16T16:05:40.000Z",23.22
"2026-05-16T16:06:00.000Z",25.72
"2026-05-16T16:06:20.000Z",24.2
"2026-05-16T16:06:40.000Z",29.66
"2026-05-16T16:07:00.000Z",24.08
"2026-05-16T16:07:20.000Z",22.48
"2026-05-16T16:07:40.000Z",28.1
"2026-05-16T16:08:00.000Z",40.95
"2026-05-16T16:08:20.000Z",26.34
"2026-05-16T16:08:40.000Z",26.2
"2026-05-16T16:09:00.000Z",22.53
"2026-05-16T16:09:20.000Z",29.75
"2026-05-16T16:09:40.000Z",27.75
"2026-05-16T16:10:00.000Z",21.42
"2026-05-16T16:10:20.000Z",24.02
"2026-05-16T16:10:40.000Z",28.64
"2026-05-16T16:11:00.000Z",28.94
"2026-05-16T16:11:20.000Z",33.2
"2026-05-16T16:11:40.000Z",45.77
"2026-05-16T16:12:00.000Z",30.27
"2026-05-16T16:12:20.000Z",25.94
"2026-05-16T16:12:40.000Z",20.13
"2026-05-16T16:13:00.000Z",23.46
"2026-05-16T16:13:20.000Z",25.13
"2026-05-16T16:13:40.000Z",19.81
"2026-05-16T16:14:00.000Z",23.27
"2026-05-16T16:14:20.000Z",23.26
"2026-05-16T16:14:40.000Z",18.64
"2026-05-16T16:15:00.000Z",20.33
"2026-05-16T16:15:20.000Z",20.52
"2026-05-16T16:15:40.000Z",26.69
"2026-05-16T16:16:00.000Z",32.12
"2026-05-16T16:16:20.000Z",16.4
"2026-05-16T16:16:40.000Z",26.1
"2026-05-16T16:17:00.000Z",25.26
"2026-05-16T16:17:20.000Z",21.44
"2026-05-16T16:17:40.000Z",15.85
"2026-05-16T16:18:00.000Z",21.36
"2026-05-16T16:18:20.000Z",16.68
"2026-05-16T16:18:40.000Z",18.36
"2026-05-16T16:19:00.000Z",16.76
