"Time","Usage for esxilocal.hbmsolutions.mt"
"2026-05-23T14:20:00.000Z",16.44
"2026-05-23T14:25:00.000Z",17.01
"2026-05-23T14:30:00.000Z",21.48
"2026-05-23T14:35:00.000Z",16.9
"2026-05-23T14:40:00.000Z",16.4
"2026-05-23T14:45:00.000Z",15.84
"2026-05-23T14:50:00.000Z",16.25
"2026-05-23T14:55:00.000Z",16.56
"2026-05-23T15:00:00.000Z",16.72
"2026-05-23T15:05:00.000Z",17.16
"2026-05-23T15:10:00.000Z",18.32
"2026-05-23T15:15:00.000Z",17.75
"2026-05-23T15:20:00.000Z",18.38
"2026-05-23T15:25:00.000Z",17.33
"2026-05-23T15:30:00.000Z",17.12
"2026-05-23T15:35:00.000Z",19.12
"2026-05-23T15:40:00.000Z",17.4
"2026-05-23T15:45:00.000Z",18.74
"2026-05-23T15:50:00.000Z",16.49
"2026-05-23T15:55:00.000Z",17
"2026-05-23T16:00:00.000Z",16.42
"2026-05-23T16:05:00.000Z",17.46
"2026-05-23T16:10:00.000Z",17.67
"2026-05-23T16:15:00.000Z",18.12
"2026-05-23T16:20:00.000Z",17.95
"2026-05-23T16:25:00.000Z",16.68
"2026-05-23T16:30:00.000Z",17.59
"2026-05-23T16:35:00.000Z",16.34
"2026-05-23T16:40:00.000Z",17.7
"2026-05-23T16:45:00.000Z",17.28
"2026-05-23T16:50:00.000Z",17.15
"2026-05-23T16:55:00.000Z",17.52
"2026-05-23T17:00:00.000Z",23.1
"2026-05-23T17:05:00.000Z",17.33
"2026-05-23T17:10:00.000Z",17.79
"2026-05-23T17:15:00.000Z",18.87
"2026-05-23T17:20:00.000Z",17.96
"2026-05-23T17:25:00.000Z",19.22
"2026-05-23T17:30:00.000Z",23.01
"2026-05-23T17:35:00.000Z",19.09
"2026-05-23T17:40:00.000Z",22.57
"2026-05-23T17:45:00.000Z",24.68
"2026-05-23T17:50:00.000Z",22.82
"2026-05-23T17:55:00.000Z",19.61
"2026-05-23T18:00:00.000Z",19.97
"2026-05-23T18:05:00.000Z",21.14
"2026-05-23T18:10:00.000Z",23.41
"2026-05-23T18:15:00.000Z",20.58
"2026-05-23T18:20:00.000Z",22.69
"2026-05-23T18:25:00.000Z",20.71
"2026-05-23T18:30:00.000Z",23.6
"2026-05-23T18:35:00.000Z",21.11
"2026-05-23T18:40:00.000Z",19.63
"2026-05-23T18:45:00.000Z",19.98
"2026-05-23T18:50:00.000Z",20.21
"2026-05-23T18:55:00.000Z",20.19
"2026-05-23T19:00:00.000Z",24.02
"2026-05-23T19:05:00.000Z",22.52
"2026-05-23T19:10:00.000Z",22.75
"2026-05-23T19:15:00.000Z",21.09
"2026-05-23T19:20:00.000Z",20.36
"2026-05-23T19:25:00.000Z",20.91
"2026-05-23T19:30:00.000Z",20.45
"2026-05-23T19:35:00.000Z",20.65
"2026-05-23T19:40:00.000Z",20.25
"2026-05-23T19:45:00.000Z",21.48
"2026-05-23T19:50:00.000Z",21.21
"2026-05-23T19:55:00.000Z",20.84
"2026-05-23T20:00:00.000Z",19.4
"2026-05-23T20:05:00.000Z",22.43
"2026-05-23T20:10:00.000Z",21.62
"2026-05-23T20:15:00.000Z",23
"2026-05-23T20:20:00.000Z",22.34
"2026-05-23T20:25:00.000Z",21.3
"2026-05-23T20:30:00.000Z",26.05
"2026-05-23T20:35:00.000Z",19.81
"2026-05-23T20:40:00.000Z",24.08
"2026-05-23T20:45:00.000Z",24.71
"2026-05-23T20:50:00.000Z",24.7
"2026-05-23T20:55:00.000Z",18.21
"2026-05-23T21:00:00.000Z",17.61
"2026-05-23T21:05:00.000Z",17.59
"2026-05-23T21:10:00.000Z",19.42
"2026-05-23T21:15:00.000Z",19.93
"2026-05-23T21:20:00.000Z",19.45
"2026-05-23T21:25:00.000Z",17.67
"2026-05-23T21:30:00.000Z",18.06
"2026-05-23T21:35:00.000Z",16.43
"2026-05-23T21:40:00.000Z",18.11
"2026-05-23T21:45:00.000Z",17.76
"2026-05-23T21:50:00.000Z",16.63
"2026-05-23T21:55:00.000Z",17.61
"2026-05-23T22:00:00.000Z",15.68
"2026-05-23T22:05:00.000Z",18.28
"2026-05-23T22:10:00.000Z",18.78
"2026-05-23T22:15:00.000Z",18.53
"2026-05-23T22:20:00.000Z",17.75
"2026-05-23T22:25:00.000Z",17.97
"2026-05-23T22:30:00.000Z",20.3
"2026-05-23T22:35:00.000Z",18.54
"2026-05-23T22:40:00.000Z",16.32
"2026-05-23T22:45:00.000Z",20.26
"2026-05-23T22:50:00.000Z",17.31
"2026-05-23T22:55:00.000Z",16.34
"2026-05-23T23:00:00.000Z",17.3
"2026-05-23T23:05:00.000Z",16.94
"2026-05-23T23:10:00.000Z",19.06
"2026-05-23T23:15:00.000Z",18.07
"2026-05-23T23:20:00.000Z",17.5
"2026-05-23T23:25:00.000Z",16.76
"2026-05-23T23:30:00.000Z",18.19
"2026-05-23T23:35:00.000Z",16.01
"2026-05-23T23:40:00.000Z",17.13
"2026-05-23T23:45:00.000Z",15.76
"2026-05-23T23:50:00.000Z",17.48
"2026-05-23T23:55:00.000Z",16.6
"2026-05-24T00:00:00.000Z",17.51
"2026-05-24T00:05:00.000Z",18.48
"2026-05-24T00:10:00.000Z",19.03
"2026-05-24T00:15:00.000Z",18.74
"2026-05-24T00:20:00.000Z",16.11
"2026-05-24T00:25:00.000Z",17.1
"2026-05-24T00:30:00.000Z",18.15
"2026-05-24T00:35:00.000Z",16.69
"2026-05-24T00:40:00.000Z",16.62
"2026-05-24T00:45:00.000Z",17.21
"2026-05-24T00:50:00.000Z",16.35
"2026-05-24T00:55:00.000Z",16.79
"2026-05-24T01:00:00.000Z",18.08
"2026-05-24T01:05:00.000Z",16.63
"2026-05-24T01:10:00.000Z",19.36
"2026-05-24T01:15:00.000Z",19.3
"2026-05-24T01:20:00.000Z",18.07
"2026-05-24T01:25:00.000Z",16.87
"2026-05-24T01:30:00.000Z",17.19
